,fantasy_pts,fg_made,fg_missed,opponent,pass_att,pass_tds,pass_yds,player_id,player_name,player_team,position,rec_recs,rec_tds,rec_yds,result,rush_att,rush_tds,rush_yds,turnovers,twoptm,week,xp_made,year
0,0.0,1,2,PIT,0,0,0,00-0020962,R.Bironas,TEN,K,0,0,0,False,0,0,0,0,0,1,1,2009
1,0.0,0,0,TEN,0,0,0,00-0026491,S.Logan,PIT,,0,0,0,True,0,0,0,0,0,1,0,2009
2,8.0,0,0,TEN,0,0,0,00-0017162,H.Ward,PIT,,8,0,103,True,0,0,0,1,0,1,0,2009
3,14.0,0,0,TEN,43,1,363,00-0022924,B.Roethlisberger,PIT,QB,0,0,0,True,1,0,3,2,0,1,0,2009
4,1.0,0,0,TEN,0,0,0,00-0022250,W.Parker,PIT,,1,0,5,True,13,0,19,0,0,1,0,2009
5,3.0,0,0,TEN,0,0,0,00-0026901,M.Wallace,PIT,WR,3,0,32,True,0,0,0,0,0,1,0,2009
6,0.0,0,0,TEN,0,0,0,00-0025499,D.Sepulveda,PIT,,0,0,0,True,0,0,0,0,0,1,0,2009
7,6.0,0,0,PIT,0,0,0,00-0026164,C.Johnson,TEN,RB,1,0,11,False,15,0,57,0,0,1,0,2009
8,11.0,0,0,PIT,35,1,244,00-0003292,K.Collins,TEN,,0,0,0,False,2,0,1,1,0,1,0,2009
9,0.0,0,0,PIT,0,0,0,00-0007308,C.Hentrich,TEN,,0,0,0,False,0,0,0,0,0,1,0,2009
10,2.0,0,0,PIT,0,0,0,00-0023612,B.Scaife,TEN,,5,0,48,False,0,0,0,1,0,1,0,2009
11,0.0,0,0,PIT,0,0,0,00-0020285,A.Crumpler,TEN,,2,0,5,False,0,0,0,0,0,1,0,2009
12,0.0,0,0,TEN,0,0,0,00-0026163,R.Mendenhall,PIT,RB,0,0,0,True,4,0,6,0,0,1,0,2009
13,0.0,0,0,PIT,0,0,0,00-0023548,D.Stewart,TEN,T,0,0,0,False,0,0,0,0,0,1,0,2009
14,2.0,0,0,PIT,0,0,0,00-0024260,L.White,TEN,,1,0,5,False,8,0,28,0,0,1,0,2009
15,13.0,0,0,PIT,0,0,0,00-0021982,J.Gage,TEN,,7,1,78,False,0,0,0,0,0,1,0,2009
16,8.0,0,0,PIT,0,0,0,00-0027006,K.Britt,TEN,WR,4,0,85,False,0,0,0,0,0,1,0,2009
17,2.0,0,0,TEN,0,0,0,00-0022217,M.Moore,PIT,,4,0,28,True,5,0,8,0,0,1,0,2009
18,0.0,0,0,PIT,0,0,0,00-0023367,N.Washington,TEN,WR,1,0,8,False,0,0,0,0,0,1,0,2009
19,0.0,0,0,TEN,0,0,0,00-0020737,J.Reed,PIT,,0,0,0,True,0,0,0,0,0,1,0,2009
20,0.0,0,0,PIT,0,0,0,00-0026225,C.Stevens,TEN,TE,0,0,0,False,0,0,0,0,0,1,0,2009
21,0.0,0,0,PIT,0,0,0,00-0027095,G.McRath,TEN,,0,0,0,False,0,0,0,0,0,1,0,2009
22,1.0,0,0,ATL,0,0,0,00-0026003,D.Carpenter,MIA,K,0,0,0,False,0,0,0,0,0,1,1,2009
23,6.0,0,0,MIA,0,0,0,00-0022821,M.Turner,ATL,,0,0,0,True,22,0,65,0,0,1,0,2009
24,13.0,0,0,MIA,0,0,0,00-0006101,T.Gonzalez,ATL,TE,5,1,73,True,0,0,0,0,0,1,0,2009
25,16.0,0,0,MIA,36,2,229,00-0026143,M.Ryan,ATL,QB,0,0,0,True,3,0,-4,0,0,1,0,2009
26,4.0,0,0,MIA,0,0,0,00-0023462,R.White,ATL,WR,5,0,42,True,0,0,0,0,0,1,0,2009
27,4.0,0,0,MIA,0,0,0,00-0022781,M.Jenkins,ATL,,4,0,41,True,0,0,0,0,0,1,0,2009
28,0.0,0,0,MIA,0,0,0,00-0004811,J.Elam,ATL,,0,0,0,True,0,0,0,0,0,1,0,2009
29,5.0,0,0,ATL,0,0,0,00-0023437,R.Brown,MIA,RB,3,0,10,False,10,0,43,0,0,1,0,2009
30,7.0,0,0,ATL,29,1,176,00-0019559,C.Pennington,MIA,,0,0,0,False,0,0,0,2,0,1,0,2009
31,0.0,0,0,MIA,0,0,0,00-0025426,J.Blalock,ATL,G,0,0,0,True,0,0,0,0,0,1,0,2009
32,0.0,0,0,MIA,0,0,0,00-0025631,J.Snelling,ATL,FB,1,0,2,True,0,0,0,0,0,1,0,2009
33,5.0,0,0,ATL,0,0,0,00-0026000,D.Bess,MIA,WR,7,0,57,False,0,0,0,0,0,1,0,2009
34,0.0,0,0,MIA,0,0,0,00-0023234,M.Koenen,ATL,P,0,0,0,True,0,0,0,0,0,1,0,2009
35,2.0,0,0,ATL,0,0,0,00-0025396,T.Ginn,MIA,WR,2,0,26,False,2,0,9,0,0,1,0,2009
36,0.0,0,0,ATL,0,0,0,00-0025612,B.Fields,MIA,P,0,0,0,False,0,0,0,0,0,1,0,2009
37,8.0,0,0,MIA,0,0,0,00-0022143,O.Mughelli,ATL,,2,1,22,True,0,0,0,0,0,1,0,2009
38,0.0,0,0,ATL,1,0,0,00-0027020,P.White,MIA,,0,0,0,False,1,0,0,0,0,1,0,2009
39,0.0,0,0,ATL,0,0,0,00-0022405,L.Polite,MIA,,0,0,0,False,2,0,5,0,0,1,0,2009
40,2.0,0,0,ATL,0,0,0,00-0026026,J.Haynos,MIA,,1,0,21,False,0,0,0,0,0,1,0,2009
41,-3.0,0,0,ATL,0,0,0,00-0024268,A.Fasano,MIA,TE,2,0,10,False,0,0,0,2,0,1,0,2009
42,0.0,0,0,ATL,0,0,0,00-0024172,P.Cobbs,MIA,,0,0,0,False,0,0,0,0,0,1,0,2009
43,0.0,0,0,ATL,0,0,0,00-0022890,V.Carey,MIA,,0,0,0,False,0,0,0,0,0,1,0,2009
44,0.0,0,0,MIA,0,0,0,00-0005231,B.Finneran,ATL,,0,0,0,True,0,0,0,0,0,1,0,2009
45,6.0,1,1,KC,0,0,0,00-0025944,S.Hauschka,BAL,K,0,0,0,True,0,0,0,0,0,1,5,2009
46,2.0,0,0,BAL,0,0,0,00-0026213,J.Charles,KC,RB,4,0,29,False,4,0,8,0,0,1,0,2009
47,2.0,0,0,BAL,0,0,0,00-0021976,L.Johnson,KC,,1,0,6,False,11,0,20,0,0,1,0,2009
48,15.0,0,0,BAL,24,2,177,00-0024300,B.Croyle,KC,,0,0,0,False,0,0,0,0,0,1,0,2009
49,7.0,0,0,BAL,0,0,0,00-0022817,S.Ryan,KC,,1,1,10,False,0,0,0,0,0,1,0,2009
50,0.0,0,0,BAL,0,0,0,00-0023534,D.Colquitt,KC,P,0,0,0,False,0,0,0,0,0,1,0,2009
51,4.0,0,0,KC,0,0,0,00-0010500,D.Mason,BAL,,4,0,47,True,0,0,0,0,0,1,0,2009
52,4.0,0,0,KC,0,0,0,00-0022171,K.Washington,BAL,,3,0,43,True,0,0,0,0,0,1,0,2009
53,13.0,0,0,KC,0,0,0,00-0023457,M.Clayton,BAL,,5,1,77,True,1,0,9,0,0,1,0,2009
54,11.0,0,0,KC,0,0,0,00-0026195,R.Rice,BAL,RB,2,0,12,True,19,0,108,0,0,1,0,2009
55,7.0,0,0,BAL,0,0,0,00-0023474,M.Bradley,KC,,4,0,73,False,0,0,0,0,0,1,0,2009
56,9.0,0,0,KC,0,0,0,00-0025524,L.McClain,BAL,FB,3,0,23,True,6,1,19,0,0,1,0,2009
57,19.0,0,0,KC,0,0,0,00-0022178,W.McGahee,BAL,RB,4,1,31,True,10,1,44,0,0,1,0,2009
58,13.0,0,0,KC,0,0,0,00-0020516,T.Heap,BAL,,5,1,74,True,0,0,0,0,0,1,0,2009
59,0.0,0,0,KC,0,0,0,00-0025787,J.Gaither,BAL,,0,0,0,True,0,0,0,0,0,1,0,2009
60,0.0,0,0,KC,0,0,0,00-0024417,S.Koch,BAL,P,0,0,0,True,0,0,0,0,0,1,0,2009
61,0.0,0,0,BAL,0,0,0,00-0025604,T.Thigpen,KC,,0,0,0,False,1,0,2,0,0,1,0,2009
62,6.0,1,0,BAL,0,0,0,00-0026968,R.Succop,KC,K,0,0,0,False,0,0,0,0,0,1,3,2009
